request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_46,36079.37,affordable_with_plan,partial_payment,2024-12-03:36079.37|2024-12-15:13370.63,2024-12-15,none,"90-day forecast in INR; safe today 36079.37, minimum balance 84000. partial_payment completes on 2024-12-15; all projected balances preserve the reserve. No spending changes required."
request_47,19334691.75,not_affordable,not_recommended,none,,none,"90-day forecast in IDR; safe today 19334691.75, minimum balance 30049000. No eligible plan safely completes the request by its deadline."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"90-day forecast in INR; safe today 45700, minimum balance 71300. full_payment completes on 2026-07-25; all projected balances preserve the reserve. No spending changes required."
request_49,12227201.35,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,,reduce_to:event_4569:368600|reduce_to:event_4636:696350,"90-day forecast in IDR; safe today 12227201.35, minimum balance 20275700. installments completes on 2024-05-19; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"90-day forecast in INR; safe today 43900, minimum balance 99700. full_payment completes on 2025-08-06; all projected balances preserve the reserve. No spending changes required."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"90-day forecast in IDR; safe today 2191000, minimum balance 7811000. full_payment completes on 2026-01-03; all projected balances preserve the reserve. No spending changes required."
request_52,19041.62,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"90-day forecast in INR; safe today 19041.62, minimum balance 41500. wait completes on 2024-06-15; all projected balances preserve the reserve. No spending changes required."
request_53,472.61,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"90-day forecast in USD; safe today 472.61, minimum balance 2100. installments completes on 2026-01-16; all projected balances preserve the reserve. No spending changes required."
request_54,2003.48,not_affordable,not_recommended,none,,none,"90-day forecast in ZAR; safe today 2003.48, minimum balance 37000. No eligible plan safely completes the request by its deadline."
request_55,128213.74,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-08-15,reduce_to:event_5103:2536,"90-day forecast in INR; safe today 128213.74, minimum balance 124300. installments completes on 2026-08-12; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_56,603.24,affordable_with_plan,partial_payment,2025-02-03:603.24|2025-02-15:278.32,2025-02-15,none,"90-day forecast in USD; safe today 603.24, minimum balance 2100. partial_payment completes on 2025-02-15; all projected balances preserve the reserve. No spending changes required."
request_57,12418.47,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"90-day forecast in ZAR; safe today 12418.47, minimum balance 42700. wait completes on 2026-06-15; all projected balances preserve the reserve. No spending changes required."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"90-day forecast in IDR; safe today 16226000, minimum balance 14433900. full_payment completes on 2024-12-07; all projected balances preserve the reserve. No spending changes required."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"90-day forecast in INR; safe today 140600, minimum balance 132600. installments completes on 2025-07-02; all projected balances preserve the reserve. No spending changes required."
request_60,114.79,affordable_later,wait,2026-02-15:199.89,2026-02-15,none,"90-day forecast in USD; safe today 114.79, minimum balance 400. wait completes on 2026-02-15; all projected balances preserve the reserve. No spending changes required."
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,reduce_to:event_5715:784.3,"90-day forecast in ZAR; safe today 29062, minimum balance 36700. installments completes on 2024-05-18; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"90-day forecast in USD; safe today 404.23, minimum balance 1300. full_payment completes on 2025-08-05; all projected balances preserve the reserve. No spending changes required."
request_63,36322.19,not_affordable,not_recommended,none,,none,"90-day forecast in INR; safe today 36322.19, minimum balance 153500. No eligible plan safely completes the request by its deadline."
request_64,0,not_affordable,not_recommended,none,,none,"90-day forecast in INR; safe today 0, minimum balance 36100. No eligible plan safely completes the request by its deadline."
request_65,5609.11,not_affordable,not_recommended,none,,none,"90-day forecast in ZAR; safe today 5609.11, minimum balance 15500. No eligible plan safely completes the request by its deadline."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"90-day forecast in INR; safe today 22200, minimum balance 80700. full_payment completes on 2026-04-03; all projected balances preserve the reserve. No spending changes required."
request_67,275.86,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"90-day forecast in USD; safe today 275.86, minimum balance 1200. wait completes on 2024-11-15; all projected balances preserve the reserve. No spending changes required."
request_68,1291.48,not_affordable,not_recommended,none,2025-04-23,none,"90-day forecast in USD; safe today 1291.48, minimum balance 1500. No eligible plan safely completes the request by its deadline."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,"90-day forecast in EUR; safe today 529.1, minimum balance 700. full_payment completes on 2026-01-04; all projected balances preserve the reserve. No spending changes required."
request_70,48944.55,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"90-day forecast in INR; safe today 48944.55, minimum balance 115000. wait completes on 2025-02-15; all projected balances preserve the reserve. No spending changes required."
request_71,78222.68,not_affordable,not_recommended,none,,none,"90-day forecast in IDR; safe today 78222.68, minimum balance 8884800. No eligible plan safely completes the request by its deadline."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"90-day forecast in ZAR; safe today 11330, minimum balance 12200. full_payment completes on 2026-07-05; all projected balances preserve the reserve. No spending changes required."
request_73,68420.92,not_affordable,not_recommended,none,2023-02-15,none,"90-day forecast in INR; safe today 68420.92, minimum balance 103200. No eligible plan safely completes the request by its deadline."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"90-day forecast in ZAR; safe today 5010, minimum balance 21900. full_payment completes on 2025-08-04; all projected balances preserve the reserve. No spending changes required."
request_75,10525.75,not_affordable,not_recommended,none,,none,"90-day forecast in ZAR; safe today 10525.75, minimum balance 39000. No eligible plan safely completes the request by its deadline."
request_76,653.3,not_affordable,not_recommended,none,,none,"90-day forecast in USD; safe today 653.3, minimum balance 1800. No eligible plan safely completes the request by its deadline."
request_77,58540.44,not_affordable,not_recommended,none,2025-11-15,none,"90-day forecast in INR; safe today 58540.44, minimum balance 82200. No eligible plan safely completes the request by its deadline."
request_78,43064.56,not_affordable,not_recommended,none,2025-11-15,none,"90-day forecast in INR; safe today 43064.56, minimum balance 55200. No eligible plan safely completes the request by its deadline."
request_79,301.33,not_affordable,not_recommended,none,,none,"90-day forecast in EUR; safe today 301.33, minimum balance 1000. No eligible plan safely completes the request by its deadline."
request_80,109022.15,not_affordable,not_recommended,none,,none,"90-day forecast in INR; safe today 109022.15, minimum balance 121300. No eligible plan safely completes the request by its deadline."
request_81,2062.31,affordable_with_plan,full_payment,2026-07-03:2076,2026-08-15,reduce_to:event_7636:37.5,"90-day forecast in USD; safe today 2062.31, minimum balance 1600. full_payment completes on 2026-07-03; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_82,295.32,affordable_later,wait,2025-02-15:1405.2,2025-02-15,none,"90-day forecast in USD; safe today 295.32, minimum balance 1100. wait completes on 2025-02-15; all projected balances preserve the reserve. No spending changes required."
request_83,6647.19,not_affordable,not_recommended,none,,none,"90-day forecast in INR; safe today 6647.19, minimum balance 37800. No eligible plan safely completes the request by its deadline."
request_84,19965.87,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"90-day forecast in INR; safe today 19965.87, minimum balance 91300. wait completes on 2026-06-15; all projected balances preserve the reserve. No spending changes required."
request_85,307132.63,not_affordable,not_recommended,none,,none,"90-day forecast in IDR; safe today 307132.63, minimum balance 6396300. No eligible plan safely completes the request by its deadline."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"90-day forecast in INR; safe today 46300, minimum balance 84900. full_payment completes on 2025-08-03; all projected balances preserve the reserve. No spending changes required."
request_87,16041.7,not_affordable,not_recommended,none,,none,"90-day forecast in INR; safe today 16041.7, minimum balance 185900. No eligible plan safely completes the request by its deadline."
request_88,10497.62,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"90-day forecast in ZAR; safe today 10497.62, minimum balance 25800. installments completes on 2024-08-15; all projected balances preserve the reserve. No spending changes required."
request_89,9190484.81,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-01-15,stop:event_8335|reduce_to:event_8337:266760|reduce_to:event_8403:203300,"90-day forecast in IDR; safe today 9190484.81, minimum balance 12534700. installments completes on 2026-01-13; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"90-day forecast in ZAR; safe today 2560, minimum balance 7600. full_payment completes on 2026-07-06; all projected balances preserve the reserve. No spending changes required."
request_91,291.29,affordable_later,wait,2024-11-15:1927.2,2024-11-15,none,"90-day forecast in EUR; safe today 291.29, minimum balance 2100. wait completes on 2024-11-15; all projected balances preserve the reserve. No spending changes required."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"90-day forecast in ZAR; safe today 34034, minimum balance 28100. full_payment completes on 2025-02-05; all projected balances preserve the reserve. No spending changes required."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"90-day forecast in USD; safe today 1729.2, minimum balance 1900. full_payment completes on 2026-04-07; all projected balances preserve the reserve. No spending changes required."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,"90-day forecast in EUR; safe today 572, minimum balance 600. full_payment completes on 2024-12-04; all projected balances preserve the reserve. No spending changes required."
request_95,5441.3,not_affordable,not_recommended,none,,none,"90-day forecast in INR; safe today 5441.3, minimum balance 145500. No eligible plan safely completes the request by its deadline."
request_96,73983.61,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,"90-day forecast in INR; safe today 73983.61, minimum balance 56500. installments completes on 2026-03-11; all projected balances preserve the reserve. No spending changes required."
request_97,1304.1,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"90-day forecast in ZAR; safe today 1304.1, minimum balance 29700. installments completes on 2024-05-20; all projected balances preserve the reserve. No spending changes required."
request_98,5714.4,not_affordable,not_recommended,none,,none,"90-day forecast in ZAR; safe today 5714.4, minimum balance 30000. No eligible plan safely completes the request by its deadline."
request_99,16679.36,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:event_9188:525.8|reduce_to:event_9232:1065.9,"90-day forecast in ZAR; safe today 16679.36, minimum balance 49100. full_payment completes on 2026-07-04; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_100,24776.14,not_affordable,not_recommended,none,2024-08-15,none,"90-day forecast in ZAR; safe today 24776.14, minimum balance 32500. No eligible plan safely completes the request by its deadline."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"90-day forecast in INR; safe today 143500, minimum balance 187400. full_payment completes on 2025-11-03; all projected balances preserve the reserve. No spending changes required."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"90-day forecast in EUR; safe today 1716, minimum balance 900. installments completes on 2026-06-04; all projected balances preserve the reserve. No spending changes required."
request_103,2473.48,not_affordable,not_recommended,none,,none,"90-day forecast in INR; safe today 2473.48, minimum balance 125500. No eligible plan safely completes the request by its deadline."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"90-day forecast in ZAR; safe today 17204, minimum balance 24700. full_payment completes on 2025-02-04; all projected balances preserve the reserve. No spending changes required."
request_105,50051.33,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-15,reduce_to:event_9720:1632|reduce_to:event_9721:1720,"90-day forecast in INR; safe today 50051.33, minimum balance 73900. full_payment completes on 2026-06-08; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_106,439.98,affordable_later,wait,2025-02-15:2207.7,2025-02-15,none,"90-day forecast in EUR; safe today 439.98, minimum balance 1200. wait completes on 2025-02-15; all projected balances preserve the reserve. No spending changes required."
request_107,2414.03,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-07-15,reduce_to:event_9959:42.5,"90-day forecast in EUR; safe today 2414.03, minimum balance 1600. installments completes on 2025-07-03; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_108,1665.56,not_affordable,not_recommended,none,2026-09-15,none,"90-day forecast in ZAR; safe today 1665.56, minimum balance 24100. No eligible plan safely completes the request by its deadline."
request_109,433.12,not_affordable,not_recommended,none,2024-05-15,none,"90-day forecast in EUR; safe today 433.12, minimum balance 1700. No eligible plan safely completes the request by its deadline."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"90-day forecast in ZAR; safe today 22352, minimum balance 11200. installments completes on 2025-10-01; all projected balances preserve the reserve. No spending changes required."
request_111,16271876.93,affordable_with_plan,full_payment,2026-04-03:16625000,,reduce_to:event_10302:335350,"90-day forecast in IDR; safe today 16271876.93, minimum balance 23022800. full_payment completes on 2026-04-03; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_112,215.38,affordable_with_plan,full_payment,2024-06-05:271.7,2024-08-15,reduce_to:event_10400:13,"90-day forecast in EUR; safe today 215.38, minimum balance 500. full_payment completes on 2024-06-05; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_113,16148.94,not_affordable,not_recommended,none,2026-11-15,none,"90-day forecast in INR; safe today 16148.94, minimum balance 82300. No eligible plan safely completes the request by its deadline."
request_114,50913.42,not_affordable,not_recommended,none,2026-02-15,none,"90-day forecast in INR; safe today 50913.42, minimum balance 113400. No eligible plan safely completes the request by its deadline."
request_115,14780.78,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"90-day forecast in INR; safe today 14780.78, minimum balance 38800. wait completes on 2024-11-15; all projected balances preserve the reserve. No spending changes required."
request_116,6887.79,not_affordable,not_recommended,none,,none,"90-day forecast in INR; safe today 6887.79, minimum balance 80300. No eligible plan safely completes the request by its deadline."
request_117,845.91,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,reduce_to:event_10833:11|reduce_to:event_10878:20.5,"90-day forecast in EUR; safe today 845.91, minimum balance 1000. full_payment completes on 2026-07-05; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_118,643.17,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-02-15,reduce_to:event_10912:11|reduce_to:event_10914:14,"90-day forecast in EUR; safe today 643.17, minimum balance 600. installments completes on 2025-02-07; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_119,57563.49,not_affordable,not_recommended,none,2025-07-15,none,"90-day forecast in INR; safe today 57563.49, minimum balance 151200. No eligible plan safely completes the request by its deadline."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"90-day forecast in IDR; safe today 7714000, minimum balance 20050300. full_payment completes on 2026-04-06; all projected balances preserve the reserve. No spending changes required."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,"90-day forecast in USD; safe today 633.6, minimum balance 800. full_payment completes on 2024-03-03; all projected balances preserve the reserve. No spending changes required."
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"90-day forecast in IDR; safe today 20558000, minimum balance 12588500. installments completes on 2025-09-30; all projected balances preserve the reserve. No spending changes required."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"90-day forecast in IDR; safe today 4076000, minimum balance 18091200. full_payment completes on 2026-01-07; all projected balances preserve the reserve. No spending changes required."
request_124,1386.21,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,stop:event_11448|reduce_to:event_11480:38,"90-day forecast in EUR; safe today 1386.21, minimum balance 1600. installments completes on 2024-08-12; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_125,5565.33,not_affordable,not_recommended,none,2025-11-15,none,"90-day forecast in ZAR; safe today 5565.33, minimum balance 11300. No eligible plan safely completes the request by its deadline."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"90-day forecast in INR; safe today 159600, minimum balance 129700. full_payment completes on 2026-07-03; all projected balances preserve the reserve. No spending changes required."
request_127,6789.61,affordable_with_plan,full_payment,2024-10-15:23980,2024-11-15,reduce_to:event_11706:558.8|reduce_to:event_11772:773.3,"90-day forecast in ZAR; safe today 6789.61, minimum balance 41000. full_payment completes on 2024-10-15; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"90-day forecast in ZAR; safe today 25168, minimum balance 42600. full_payment completes on 2025-02-07; all projected balances preserve the reserve. No spending changes required."
request_129,108.91,not_affordable,not_recommended,none,,none,"90-day forecast in USD; safe today 108.91, minimum balance 800. No eligible plan safely completes the request by its deadline."
request_130,358.64,affordable_later,wait,2025-02-15:1978.8,2025-02-15,none,"90-day forecast in USD; safe today 358.64, minimum balance 1400. wait completes on 2025-02-15; all projected balances preserve the reserve. No spending changes required."
request_131,1102.5,not_affordable,not_recommended,none,2025-07-23,none,"90-day forecast in USD; safe today 1102.5, minimum balance 1100. No eligible plan safely completes the request by its deadline."
request_132,260.35,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"90-day forecast in USD; safe today 260.35, minimum balance 1100. wait completes on 2026-01-15; all projected balances preserve the reserve. No spending changes required."
request_133,0,not_affordable,not_recommended,none,,none,"90-day forecast in IDR; safe today 0, minimum balance 9986200. No eligible plan safely completes the request by its deadline."
request_134,4257915.53,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"90-day forecast in IDR; safe today 4257915.53, minimum balance 15902500. wait completes on 2025-10-15; all projected balances preserve the reserve. No spending changes required."
request_135,259.35,not_affordable,not_recommended,none,2026-07-15,none,"90-day forecast in USD; safe today 259.35, minimum balance 500. No eligible plan safely completes the request by its deadline."
request_136,526.1,affordable_with_plan,full_payment,2024-06-03:560.4,2024-06-15,reduce_to:event_12498:27.2,"90-day forecast in USD; safe today 526.1, minimum balance 1100. full_payment completes on 2024-06-03; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_137,13149.72,not_affordable,not_recommended,none,,none,"90-day forecast in INR; safe today 13149.72, minimum balance 71800. No eligible plan safely completes the request by its deadline."
request_138,736.84,affordable_with_plan,partial_payment,2026-04-07:736.84|2026-04-15:520.1,2026-04-15,none,"90-day forecast in EUR; safe today 736.84, minimum balance 2300. partial_payment completes on 2026-04-15; all projected balances preserve the reserve. No spending changes required."
request_139,1319.18,not_affordable,not_recommended,none,2024-11-15,none,"90-day forecast in USD; safe today 1319.18, minimum balance 1500. No eligible plan safely completes the request by its deadline."
request_140,1273.26,not_affordable,not_recommended,none,,none,"90-day forecast in ZAR; safe today 1273.26, minimum balance 21600. No eligible plan safely completes the request by its deadline."
request_141,18354.26,not_affordable,not_recommended,none,,none,"90-day forecast in INR; safe today 18354.26, minimum balance 67300. No eligible plan safely completes the request by its deadline."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,"90-day forecast in USD; safe today 1263.6, minimum balance 1700. full_payment completes on 2024-12-05; all projected balances preserve the reserve. No spending changes required."
request_143,2431.62,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"90-day forecast in ZAR; safe today 2431.62, minimum balance 11300. wait completes on 2025-07-15; all projected balances preserve the reserve. No spending changes required."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,"90-day forecast in USD; safe today 233.34, minimum balance 600. full_payment completes on 2026-07-04; all projected balances preserve the reserve. No spending changes required."
request_145,23859.31,not_affordable,not_recommended,none,2024-05-15,none,"90-day forecast in INR; safe today 23859.31, minimum balance 155400. No eligible plan safely completes the request by its deadline."
request_146,13247.56,not_affordable,not_recommended,none,,none,"90-day forecast in INR; safe today 13247.56, minimum balance 108600. No eligible plan safely completes the request by its deadline."
request_147,451.62,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"90-day forecast in EUR; safe today 451.62, minimum balance 900. installments completes on 2026-06-07; all projected balances preserve the reserve. No spending changes required."
request_148,7024.27,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-08-15,reduce_to:event_13594:576.4|reduce_to:event_13661:531.3,"90-day forecast in ZAR; safe today 7024.27, minimum balance 20000. installments completes on 2024-08-15; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_149,21938.33,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2026-01-15,reduce_to:event_13703:1013.76,"90-day forecast in ZAR; safe today 21938.33, minimum balance 42100. installments completes on 2026-01-13; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_150,234.31,not_affordable,not_recommended,none,2026-03-15,none,"90-day forecast in EUR; safe today 234.31, minimum balance 700. No eligible plan safely completes the request by its deadline."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"90-day forecast in IDR; safe today 26999000, minimum balance 31633600. full_payment completes on 2024-09-03; all projected balances preserve the reserve. No spending changes required."
request_152,10925.49,not_affordable,not_recommended,none,2025-04-15,none,"90-day forecast in ZAR; safe today 10925.49, minimum balance 11900. No eligible plan safely completes the request by its deadline."
request_153,0,not_affordable,not_recommended,none,,none,"90-day forecast in USD; safe today 0, minimum balance 1400. No eligible plan safely completes the request by its deadline."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"90-day forecast in EUR; safe today 1625.8, minimum balance 1300. installments completes on 2025-02-04; all projected balances preserve the reserve. No spending changes required."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"90-day forecast in INR; safe today 112500, minimum balance 56300. full_payment completes on 2025-05-06; all projected balances preserve the reserve. No spending changes required."
request_156,8210.06,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"90-day forecast in ZAR; safe today 8210.06, minimum balance 26900. wait completes on 2026-06-15; all projected balances preserve the reserve. No spending changes required."
request_157,4694483.07,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"90-day forecast in IDR; safe today 4694483.07, minimum balance 15714100. wait completes on 2024-05-15; all projected balances preserve the reserve. No spending changes required."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"90-day forecast in INR; safe today 242600, minimum balance 131400. installments completes on 2025-10-02; all projected balances preserve the reserve. No spending changes required."
request_159,3096.58,not_affordable,not_recommended,none,,none,"90-day forecast in ZAR; safe today 3096.58, minimum balance 8700. No eligible plan safely completes the request by its deadline."
request_160,562.18,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"90-day forecast in EUR; safe today 562.18, minimum balance 1200. installments completes on 2024-08-14; all projected balances preserve the reserve. No spending changes required."
